headword,pos,cefr,tier,tier_name,amirnet_level,is_connector,source
dusty,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
duty,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
duty-free,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
duvet,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
dwarf,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
dye,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
dynamic,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
dynasty,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
eager,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
eagerly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eagerness,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
eagle,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
earache,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
earn,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
earnest,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
earnings,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
earring,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
earth,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
earthquake,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
ease,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
easily,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
east,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
eastern,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
eastward,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
easygoing/easy-going,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
eco,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ecological,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ecologically,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ecologist,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ecology,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
economic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
economical,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
economics,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
economist,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
economy,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ecosystem,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ecstasy,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ecstatic,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
edge,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
edit,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
edition,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
editor,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
editorial,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
educate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
educated,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
education,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
educational,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
educator,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
effect,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
effective,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
effectively,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
effectiveness,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
efficiency,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
efficient,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
effort,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
elbow,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
elderly,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
elect,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
election,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
elective,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
electric,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
electrical,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
electrician,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
electricity,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
electron,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
electronic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
electronically,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
electronics,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
elegance,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
elegant,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
elegantly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
element,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
elemental,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
elephant,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
elevator,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
eligible,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eliminate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
elite,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eloquence,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eloquent,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
elsewhere,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
email,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
embarrass,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
embarrassed,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
embarrassing,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
embarrassment,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
embassy,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
embrace,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
emerge,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
emergence,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
emergency,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
emotion,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
emotional,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
emotionally,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
emperor,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
emphasis,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
emphasize/emphasize,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
emphatically,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
empire,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
employ,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
employee,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
employer,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
employment,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
empty,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
enable,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enclose,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
encounter,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
encourage,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
encouragement,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
encouraging,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
encyclopedia/encyclopaedia,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
endanger,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
endangered,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
endeavor/endeavour,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ending,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
endless,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
endlessly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
endorse,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
endurance,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
endure,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enduring,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
enemy,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
energetic,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
energy,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
enforce,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
engage,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
engaged,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
engagement,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
engine,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
engineering,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
Englishman,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
engulf,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
enhance,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
enjoyable,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enjoyment,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enormous,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
enough,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
enrich,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enroll/enrol,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ensure,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enter,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
enterprise,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
entertain,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
entertainer,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
entertaining,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
entertainment,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
enthusiasm,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enthusiast,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enthusiastic,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
enthusiastically,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
entire,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
entirely,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
entitle,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
entrance,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
entrepreneur,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
entry,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
envelope,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
environment,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
environmental,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
environmentalist,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
environmentally,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
environmentally friendly,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
envy,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
episode,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
equal,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
equality,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
equally,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
equation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
equip,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
equipment,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
equity,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
era,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
erect,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
error,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
erupt,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eruption,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
escalator,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
escape,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
especially,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
essay,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
essayist,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
essence,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
essential,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
essentially,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
establish,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
establishment,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
estate,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
estimate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
estimated,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eternal,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
eternally,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eternity,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ethic,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ethnic,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
euro,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
evacuate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
evacuation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
evaluate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
evaluation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
even,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
evenly,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
eventually,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ever,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
everlasting,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
evidence,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
evident,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
evidently,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
evil,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
evolution,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
evolve,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exact,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
exactly,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
exactness,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exaggerate,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exaggeration,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exalt,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exam,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
examination,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
examine,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
examinee,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
examiner,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
exceed,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
excel,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
excellence,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
except,conjunction,A2,1,ליבה,1-2,true,CEFR-J v1.5
exception,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exceptional,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exceptionally,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
excess,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
excessive,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exchange,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
exchange rate,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
excitedly,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
excitement,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
exclaim,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exclamation mark,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exclude,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exclusion,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exclusive,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
exclusively,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
excursion,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
execute,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
execution,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
executive,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exhaust,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exhausted,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
exhausting,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exhaustion,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exhibit,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exhibition,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
exile,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exist,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
existence,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
existing,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exit,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
exotic,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
expand,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
expansion,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
expect,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
expectation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
expected,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
expedition,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
expense,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
experience,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
experienced,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
experiment,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
expert,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
explain,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
explanation,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
explode,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exploit,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exploration,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
explore,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
explorer,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
explosion,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
explosive,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
export,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
expose,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
express,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
expression,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
expressive,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
exquisite,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
extend,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
extension,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
extensive,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
extensively,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
extent,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
external,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
extinct,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
extinction,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
extra,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
extract,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
extraordinarily,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
extraordinary,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
extreme,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
extreme sports,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
extremely,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
exultant,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eyebrow,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eyelash,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eyelid,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
eyesight,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fabric,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fabulous,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
face to face,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
face-to-face,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
facilitate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
facilities,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
facility,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fact,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
factor,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
faculty,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fade,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fail,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
failure,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
faint,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fairly,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
faith,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
faithful,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fake,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fall,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
fallen,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
falter,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fame,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
familiar,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
familiarize/familiarise,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fancy,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
fantastic,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
fantastically,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fantasy,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
far,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
faraway,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fare,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
farewell,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
farming,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
farmland,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
farther,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
farthest,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fascinate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fascinated,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fascinating,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
fascination,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fashion,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
fashionable,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fast food,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
fasten,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fatal,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fate,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
father-in-law,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fault,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
faulty,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
favor/favour,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
favorable/favourable,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fax,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fear,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
fearsome,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
feast,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
feat,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
feather,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
feature,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
fed up,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
federal,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fee,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
feedback,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fellow,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
female,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
fence,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
ferry,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
ferryboat,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
festive,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
fetch,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
feverishly,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
few,determiner,A2,1,ליבה,1-2,,CEFR-J v1.5
fiber/fibre,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fiction,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
fictional,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fierce,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
fifth,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
